Epoch,trainLoss,testLoss
1,0.0036,0.0036
2,0.0036,0.0036
3,0.0036,0.0036
4,0.0036,0.0036
5,0.0036,0.0036
6,0.0036,0.0036
7,0.0036,0.0036
8,0.0036,0.0036
9,0.0036,0.0036
10,0.0036,0.0036
11,0.0036,0.0036
12,0.0036,0.0036
13,0.0036,0.0036
14,0.0036,0.0036
15,0.0036,0.0036
16,0.0036,0.0036
17,0.0036,0.0036
18,0.0036,0.0036
19,0.0036,0.0036
20,0.0036,0.0036
21,0.0036,0.0036
22,0.0036,0.0036
23,0.0036,0.0036
24,0.0036,0.0036
25,0.0036,0.0036
26,0.0036,0.0036
27,0.0036,0.0036
28,0.0036,0.0036
29,0.0036,0.0036
30,0.0036,0.0036
31,0.0036,0.0036
32,0.0036,0.0036
33,0.0036,0.0036
34,0.0036,0.0036
35,0.0036,0.0036
36,0.0036,0.0036
37,0.0036,0.0036
38,0.0036,0.0036
39,0.0036,0.0036
40,0.0036,0.0036
41,0.0036,0.0036
42,0.0036,0.0036
43,0.0036,0.0036
44,0.0036,0.0036
45,0.0036,0.0036
46,0.0036,0.0036
47,0.0036,0.0036
48,0.0036,0.0036
49,0.0036,0.0036
50,0.0036,0.0036
51,0.0036,0.0036
52,0.0036,0.0036
53,0.0036,0.0036
54,0.0036,0.0036
55,0.0036,0.0036
56,0.0036,0.0036
57,0.0036,0.0036
58,0.0036,0.0036
59,0.0036,0.0036
60,0.0036,0.0036
61,0.0036,0.0036
62,0.0036,0.0036
63,0.0036,0.0036
64,0.0036,0.0036
65,0.0036,0.0036
66,0.0036,0.0036
67,0.0036,0.0036
68,0.0036,0.0036
69,0.0036,0.0036
70,0.0036,0.0036
71,0.0036,0.0036
72,0.0036,0.0036
73,0.0036,0.0036
74,0.0036,0.0036
75,0.0036,0.0036
76,0.0036,0.0036
77,0.0036,0.0036
78,0.0036,0.0036
79,0.0036,0.0036
80,0.0036,0.0036
81,0.0036,0.0036
82,0.0036,0.0036
83,0.0036,0.0036
84,0.0036,0.0036
85,0.0036,0.0036
86,0.0036,0.0036
87,0.0036,0.0036
88,0.0036,0.0036
89,0.0036,0.0036
90,0.0036,0.0036
91,0.0036,0.0036
92,0.0036,0.0036
93,0.0036,0.0036
94,0.0036,0.0036
95,0.0036,0.0036
96,0.0036,0.0036
97,0.0036,0.0036
98,0.0036,0.0036
99,0.0036,0.0036
100,0.0036,0.0036
